symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
$$$,0.0009738531278331822,846.4043517679057,44601.168631006345,0.00027792475067996375,0.008807706685730025
$PAC,0.0010291648940860215,152147.24462365592,13002057.62455197,0.00012463968100358424,0.0016235918610624496
0XBTC,0.7521773351955308,287635.0055865922,1868392.0167597765,0.1809497597765363,0.17033202263588795
1337,7.490923903312444e-05,10216.603401969562,1647082.7224709042,2.8547931960608773e-05,0.11216155505613586
1ST,0.3601055132408575,2592613.8335435055,29892046.970996216,0.0672643921815889,0.06545124003389083
1WO,0.15753750393700786,148521.33858267716,2959024.3661417323,0.03201142519685039,0.04775448148176194
2GIVE,0.004350709051724138,46057.57974137931,2253933.2683189656,0.0008218006465517241,0.011328984244457713
2GO,0.3654182413793104,17005.931034482757,927820.9310344828,0.09983041379310345,0.006043088890699425
300,431.59260960334035,1387.883089770355,129477.50104384133,102.6775574112735,0.006507930060149053
42,16060.95233163554,2625.0367855121676,361587.013016412,3940.8080984719863,0.0880456977144515
611,0.17730892240437157,1177.4579234972678,77130.3213114754,0.05971466885245902,0.017724514272929905
808,0.00038097875145857643,5331.061843640607,546438.7806301051,0.0001699705250875146,0.0211715755926288
8BIT,0.12970364719271624,2719.1487101669195,153120.94006069802,0.1526031115326252,0.022320212420570456
AAA,0.14087864935064934,55220.98701298701,340141.1818181818,0.1596482987012987,0.12297354690083652
AAC,0.07208466878980892,2333270.6401273888,1010516.3343949044,0.010059808917197453,0.13540421936473962
ABBC,0.4235254285714286,2751890.326530612,0.0,0.16812265306122448,0.0
ABC,21.19696578995434,1624.0787671232877,0.0,9.414767219178083,0.0
ABDT,0.016537912280701755,185388.37719298244,0.0,0.003652228070175439,0.0
ABL,0.025602477064220183,629568.7339449541,3775668.6972477064,0.003266669724770642,0.14293523770837888
ABS,0.029932107142857146,8128.321428571428,84383.07142857143,0.007810785714285715,0.04331761967072219
ABT,0.5420144115523465,18218476.36101083,47244405.90613718,0.061530967509025265,0.39761188462882685
ABX,0.06914730188679245,241857.9716981132,934939.3773584906,0.017113971698113208,0.08035766702058339
ABY,0.002735501225490196,61100.31617647059,2132167.506127451,0.000525452205882353,0.010469825135872364
ABYSS,0.020819971590909092,663141.7556818182,4091465.1818181816,0.0031840454545454546,0.1434159159370776
AC,0.001834778247734139,3399.2706948640484,1951297.740181269,0.0006226277945619336,0.0048769387855344985
